656.778	656.78	656.78	656.78	656.78	656.778	
656.786	656.775	656.791	656.779	656.789	656.766	
656.848	656.739	656.863	656.768	656.852	656.682	
657.015	656.644	657.059	656.738	657.024	656.457	
657.339	656.459	657.441	656.681	657.358	656.017	
657.875	656.153	658.07	656.586	657.91	655.291	
658.674	655.697	659.009	656.444	658.733	654.21	
659.789	655.06	660.319	656.246	659.882	652.7	
661.273	654.213	662.063	655.982	661.411	650.691	
663.178	653.125	664.302	655.644	663.374	648.111	
665.557	651.766	667.098	655.222	665.826	644.889	
668.463	650.106	670.513	654.706	668.82	640.954	
671.929	648.131	674.587	654.096	672.391	636.263	
675.868	645.917	679.231	653.441	676.455	630.942	
680.153	643.573	684.308	652.808	680.883	625.178	
684.655	641.208	689.683	652.265	685.55	619.16	
689.245	638.932	695.219	651.88	690.326	613.074	
693.795	636.854	700.781	651.721	695.084	607.108	
698.177	635.084	706.231	651.854	699.698	601.45	
702.262	633.731	711.433	652.348	704.038	596.287	
705.92	632.903	716.252	653.27	707.978	591.807	
709.025	632.712	720.551	654.688	711.39	588.198	
711.447	633.265	724.194	656.668	714.147	585.646	
713.073	634.658	727.06	659.27	716.134	584.313	
713.934	636.849	729.168	662.457	717.364	584.129	
714.13	639.731	730.61	666.147	717.912	584.9	
713.766	643.191	731.477	670.257	717.855	586.433	
712.945	647.121	731.862	674.703	717.271	588.536	
711.769	651.409	731.858	679.403	716.235	591.014	
710.343	655.945	731.555	684.273	714.825	593.675	
708.769	660.619	731.047	689.23	713.118	596.325	
707.15	665.32	730.426	694.191	711.19	598.77	
705.591	669.938	729.782	699.073	709.118	600.818	
704.193	674.364	729.21	703.792	706.978	602.275	
703.061	678.485	728.8	708.266	704.849	602.947	
702.297	682.193	728.645	712.411	702.806	602.642	
702.006	685.376	728.836	716.144	700.927	601.166	
702.26	687.949	729.446	719.399	699.28	598.388	
703.017	689.925	730.46	722.18	697.9	594.437	
704.203	691.345	731.84	724.509	696.815	589.506	
705.745	692.247	733.551	726.408	696.051	583.789	
707.569	692.671	735.555	727.898	695.637	577.48	
709.601	692.657	737.816	729.002	695.598	570.772	
711.768	692.244	740.297	729.742	695.962	563.858	
713.996	691.472	742.962	730.138	696.756	556.934	
716.212	690.379	745.774	730.214	698.006	550.191	
718.341	689.006	748.697	729.991	699.741	543.825	
720.311	687.392	751.694	729.491	701.987	538.028	
722.048	685.576	754.728	728.736	704.771	532.995	
723.478	683.598	757.762	727.747	708.12	528.919	
724.527	681.497	760.761	726.548	712.061	525.992	
725.167	679.311	763.686	725.167	716.557	524.294	
725.447	677.077	766.496	723.65	721.452	523.681	
725.429	674.83	769.15	722.046	726.573	523.988	
725.173	672.605	771.607	720.401	731.751	525.047	
724.741	670.437	773.827	718.763	736.815	526.691	
724.192	668.363	775.767	717.18	741.595	528.755	
723.589	666.417	777.387	715.698	745.918	531.071	
722.99	664.636	778.646	714.365	749.615	533.473	
722.458	663.055	779.503	713.23	752.515	535.794	
722.053	661.708	779.917	712.339	754.447	537.867	
721.836	660.633	779.846	711.739	755.24	539.525	
721.867	659.863	779.25	711.479	754.724	540.602	
722.202	659.431	778.095	711.599	752.751	540.946	
722.824	659.315	776.438	712.074	749.437	540.579	
723.675	659.462	774.389	712.835	745.063	539.628	
724.696	659.818	772.06	713.813	739.911	538.224	
725.827	660.33	769.563	714.941	734.262	536.495	
727.009	660.944	767.01	716.147	728.399	534.573	
728.183	661.607	764.512	717.365	722.606	532.587	
729.289	662.266	762.183	718.524	717.163	530.666	
730.269	662.865	760.132	719.557	712.354	528.941	
731.07	663.359	758.458	720.403	708.422	527.525	
731.694	663.744	757.154	721.062	705.36	526.422	
732.163	664.033	756.173	721.557	703.058	525.593	
732.499	664.24	755.471	721.912	701.41	524.999	
732.724	664.379	755	722.15	700.304	524.601	
732.861	664.463	754.715	722.294	699.634	524.359	
732.931	664.507	754.568	722.368	699.289	524.235	
732.957	664.522	754.514	722.395	699.163	524.19	
732.96	664.525	754.507	722.399	699.144	524.183	
