0,0,510,0,0,0
0.00290916,0.00330486,510.003,0.00310303,0.0030179,0.000889118
0.0232733,0.0264389,510.026,0.0248242,0.0241432,0.00711295
0.0785473,0.0892313,510.089,0.0837818,0.0814833,0.0240062
0.186186,0.211511,510.21,0.198594,0.193146,0.0569036
0.363645,0.413108,510.411,0.387879,0.377238,0.11114
0.628379,0.713851,510.71,0.670254,0.651867,0.19205
0.997842,1.13357,511.127,1.06434,1.03514,0.304968
1.48949,1.69209,511.682,1.58875,1.54517,0.455229
2.12078,2.40925,512.395,2.26211,2.20005,0.648167
2.90916,3.30486,513.285,3.10303,3.0179,0.889118
3.8665,4.39421,514.365,4.12357,4.01009,1.18256
4.97009,5.66426,515.601,5.29517,5.1463,1.52767
6.18399,7.09121,516.941,6.57378,6.38029,1.9216
7.47224,8.65124,518.332,7.91528,7.6658,2.3615
8.7989,10.3205,519.724,9.27558,8.95654,2.84452
10.128,12.0752,521.065,10.6106,10.2063,3.3678
11.4236,13.8914,522.302,11.8762,11.3687,3.9285
12.6497,15.7454,523.385,13.0283,12.3975,4.52376
13.7704,17.6132,524.26,14.0228,13.2465,5.15073
14.7498,19.4712,524.878,14.8157,13.8693,5.80656
15.5554,21.2971,525.191,15.3667,14.2247,6.48793
16.1908,23.0856,525.214,15.6758,14.32,7.18683
16.6801,24.8411,524.994,15.7655,14.1904,7.89261
17.0475,26.568,524.58,15.6586,13.8713,8.59455
17.3172,28.2707,524.019,15.3779,13.3981,9.28197
17.5135,29.9537,523.361,14.9461,12.8064,9.94417
17.6606,31.6213,522.653,14.3861,12.1316,10.5704
17.7828,33.2779,521.942,13.7206,11.4092,11.1501
17.9042,34.9281,521.279,12.9725,10.6747,11.6725
18.0492,36.5762,520.71,12.1646,9.9634,12.1268
18.2419,38.2267,520.284,11.3196,9.31093,12.5024
18.5066,39.8839,520.049,10.4604,8.7527,12.7886
18.8676,41.5523,520.053,9.60976,8.32418,12.9748
19.3491,43.2364,520.345,8.79046,8.06084,13.0501
19.9754,44.9404,520.972,8.02531,7.99814,13.0039
20.7657,46.6667,521.963,7.33324,8.16102,12.8307
21.7181,48.4068,523.262,6.71601,8.52767,12.548
22.8245,50.1497,524.788,6.17061,9.06331,12.1797
24.0767,51.8843,526.46,5.69403,9.73315,11.7496
25.4668,53.5996,528.197,5.28327,10.5024,11.2816
26.9867,55.2844,529.919,4.93532,11.3363,10.7996
28.6283,56.9276,531.546,4.64718,12.2001,10.3275
30.3835,58.5181,532.995,4.41583,13.059,9.88912
32.2443,60.0448,534.188,4.23827,13.8782,9.50838
34.2025,61.4967,535.042,4.1115,14.6229,9.20914
36.2503,62.8626,535.478,4.03251,15.2584,9.01529
38.3794,64.1314,535.415,3.99829,15.7498,8.95069
40.5818,65.2921,534.772,4.00584,16.0626,9.03909
42.8463,66.3372,533.54,4.0536,16.1821,9.28853
45.1564,67.2662,531.839,4.14263,16.1308,9.67755
47.4944,68.0791,529.804,4.2743,15.9355,10.1814
49.8431,68.7762,527.571,4.45001,15.6231,10.7753
52.185,69.3576,525.275,4.67111,15.2202,11.4345
54.5029,69.8235,523.052,4.93899,14.7538,12.1343
56.7792,70.174,521.036,5.25501,14.2505,12.8499
58.9967,70.4092,519.364,5.62056,13.7371,13.5565
61.1378,70.5294,518.17,6.037,13.2405,14.2295
63.1853,70.5347,517.591,6.50571,12.7873,14.8441
65.1217,70.4251,517.76,7.02806,12.4044,15.3755
66.9297,70.201,518.814,7.60544,12.1186,15.7989
68.5921,69.8627,520.885,8.23906,11.9562,16.0901
70.1012,69.4187,523.977,8.92347,11.9252,16.2422
71.4626,68.8898,527.908,9.64366,12.0073,16.2733
72.6833,68.2974,532.483,10.3839,12.1821,16.2037
73.77,67.6629,537.507,11.1286,12.4296,16.0532
74.7295,67.008,542.786,11.8619,12.7293,15.8422
75.5686,66.354,548.125,12.5681,13.061,15.5905
76.2939,65.7225,553.329,13.2316,13.4045,15.3182
76.9124,65.1349,558.202,13.8366,13.7395,15.0456
77.4309,64.6127,562.551,14.3675,14.0456,14.7925
77.8561,64.1758,566.195,14.8098,14.3042,14.5778
78.1966,63.8258,569.113,15.1641,14.5113,14.4058
78.4618,63.5532,571.387,15.44,14.6726,14.2719
78.6611,63.3484,573.095,15.6473,14.7938,14.1712
78.8039,63.2016,574.319,15.7959,14.8807,14.0991
78.8996,63.1032,575.139,15.8955,14.9389,14.0507
78.9576,63.0435,575.637,15.9559,14.9742,14.0214
78.9874,63.0129,575.892,15.9869,14.9924,14.0063
78.9984,63.0016,575.987,15.9984,14.999,14.0008
79,63,576,16,15,14
